Program performance: 9.593759354476129 frames per second.
Wave #1: ID: 1, Wave Face Duration: 4.033333333333333s
Wave #2: ID: 123, Wave Face Duration: 0.03333333333333333s
Wave #3: ID: 125, Wave Face Duration: 0.06666666666666667s
Wave #4: ID: 128, Wave Face Duration: 0.26666666666666666s
Wave #5: ID: 137, Wave Face Duration: 0.2s
Wave #6: ID: 144, Wave Face Duration: 0.16666666666666666s
Wave #7: ID: 150, Wave Face Duration: 1.8333333333333333s
Wave #8: ID: 206, Wave Face Duration: 0.5666666666666667s
Wave #9: ID: 224, Wave Face Duration: 0.8s
Wave #10: ID: 249, Wave Face Duration: 0.7333333333333333s
Wave #11: ID: 289, Wave Face Duration: 0.9666666666666667s
Wave #12: ID: 319, Wave Face Duration: 1.8333333333333333s
Wave #13: ID: 374, Wave Face Duration: 3.566666666666667s
Wave #14: ID: 385, Wave Face Duration: 3.2s
Wave #15: ID: 272, Wave Face Duration: 7.833333333333333s
Wave #16: ID: 548, Wave Face Duration: 0.2s
Wave #17: ID: 641, Wave Face Duration: 0.26666666666666666s
Wave #18: ID: 508, Wave Face Duration: 4.733333333333333s
Wave #19: ID: 647, Wave Face Duration: 0.6333333333333333s
Wave #20: ID: 695, Wave Face Duration: 0.13333333333333333s
Wave #21: ID: 701, Wave Face Duration: 0.03333333333333333s
Wave #22: ID: 703, Wave Face Duration: 0.03333333333333333s
Wave #23: ID: 705, Wave Face Duration: 0.1s
Wave #24: ID: 709, Wave Face Duration: 0.03333333333333333s
Wave #25: ID: 711, Wave Face Duration: 0.03333333333333333s
Wave #26: ID: 713, Wave Face Duration: 0.3s
Wave #27: ID: 660, Wave Face Duration: 3.7s
Wave #28: ID: 725, Wave Face Duration: 1.8333333333333333s
Wave #29: ID: 772, Wave Face Duration: 3.8666666666666667s
Wave #30: ID: 849, Wave Face Duration: 1.9s
Wave #31: ID: 907, Wave Face Duration: 0.06666666666666667s
Wave #32: ID: 910, Wave Face Duration: 0.06666666666666667s
Wave #33: ID: 913, Wave Face Duration: 0.16666666666666666s
Wave #34: ID: 919, Wave Face Duration: 0.23333333333333334s
Wave #35: ID: 927, Wave Face Duration: 0.06666666666666667s
Wave #36: ID: 930, Wave Face Duration: 0.13333333333333333s
Wave #37: ID: 935, Wave Face Duration: 10.3s
Wave #38: ID: 1008, Wave Face Duration: 11.066666666666666s
Wave #39: ID: 1148, Wave Face Duration: 6.4s
Wave #40: ID: 1132, Wave Face Duration: 6.966666666666667s
Wave #41: ID: 1342, Wave Face Duration: 0.26666666666666666s
Wave #42: ID: 1350, Wave Face Duration: 0.03333333333333333s
Wave #43: ID: 1352, Wave Face Duration: 0.03333333333333333s
Wave #44: ID: 1356, Wave Face Duration: 0.03333333333333333s
Wave #45: ID: 1351, Wave Face Duration: 0.36666666666666664s
Wave #46: ID: 1357, Wave Face Duration: 0.9666666666666667s
